time,acceleration
12.98,-0.046070339
13,-0.033018063
13.02,-0.024254809
13.04,-0.024637569
13.06,-0.022936337
13.08,-0.014826102
13.1,-0.004786156
13.12,0.005117011
13.14,0.016068709
13.16,0.026713046
13.18,0.028293433
13.2,0.021403877
13.22,0.013941386
13.24,0.006052469
13.26,0.000198337
13.28,0.004703079
13.3,0.011917221
13.32,0.016750163
13.34,0.021797211
13.36,0.028177372
13.38,0.03555165
13.4,0.04443505
13.42,0.055141576
13.44,0.05948023
13.46,0.049232015
13.48,0.036745929
13.5,0.026730972
13.52,0.016010141
13.54,0.004468634
13.56,-0.003044454
13.58,0.000137255
13.6,0.004974917
13.62,-0.003605431
13.64,-0.019934374
13.66,-0.034073413
13.68,-0.047840352
13.7,-0.056659193
13.72,-0.041878938
13.74,-0.018785584
13.76,-0.001341432
13.78,0.013735421
13.8,0.014758077
13.82,-0.003658262
13.84,-0.022947296
13.86,-0.034951322
13.88,-0.021558238
13.9,0.007412059
13.92,0.033822271
13.94,0.058938702
13.96,0.071287254
13.98,0.054659928
14,0.032392723
14.02,0.014640637
14.04,-0.004157732
14.06,-0.024408189
14.08,-0.034452936
14.1,-0.022548576
14.12,-0.00659001
14.14,0.005331359
14.16,0.01117313
14.18,0.010373904
14.2,0.009144377
14.22,0.008976748
14.24,0.008917015
14.26,0.009322677
14.28,0.00954183
14.3,0.007337171
14.32,0.004717799
14.34,0.00328381
14.36,0.002531
14.38,0.002185967
14.4,0.002317007
14.42,0.002219316
14.44,-0.003414209
14.46,-0.01390687
14.48,-0.018981873
14.5,-0.013261819
14.52,-0.007013612
14.54,-0.006006954
14.56,-0.011742346
14.58,-0.018873091
14.6,-0.017620791
14.62,-0.001029316
14.64,0.018572943
14.66,0.036747374
14.68,0.056435846
14.7,0.075728358
14.72,0.069704906
14.74,0.040433483
14.76,0.013694084
14.78,-0.0095279
14.8,-0.034555677
14.82,-0.059897055
14.84,-0.079728442
14.86,-0.072587843
14.88,-0.052010263
14.9,-0.037609703
14.92,-0.025723165
14.94,-0.019981648
14.96,-0.020984151
14.98,-0.021516674
15,-0.018688214
15.02,-0.01643777
15.04,-0.015863338
15.06,-0.023514915
15.08,-0.034676497
15.1,-0.040609081
15.12,-0.035465662
15.14,-0.027262232
15.16,-0.020593786
15.18,-0.008400815
15.2,0.012804188
15.22,0.033997732
15.24,0.049539324
15.26,0.056072972
15.28,0.058695682
15.3,0.052984458
15.32,0.041596303
15.34,0.025359219
15.36,0.003182807
15.38,-0.019315732
15.4,-0.0374416
15.42,-0.035139395
15.44,-0.020352115
15.46,-0.007615459
15.48,0.004525676
15.5,0.015750194
15.52,0.009618797
15.54,-0.007414613
15.56,-0.021444733
15.58,-0.019930861
15.6,0.000900407
15.62,0.023153174
15.64,0.042921342
15.66,0.062817616
15.68,0.064771996
15.7,0.044912483
15.72,0.024978076
15.74,0.010070772
15.76,0.007611668
15.78,0.01414646
15.8,0.013716446
15.82,0.003628422
15.84,-0.005377018
15.86,-0.012115077
15.88,-0.01906176
15.9,-0.025799369
15.92,-0.03185591
15.94,-0.034120383
15.96,-0.028297793
15.98,-0.021110139
16,-0.017493421
16.02,-0.021261641
16.04,-0.028798798
16.06,-0.03685289
16.08,-0.037428915
16.1,-0.022014871
16.12,-0.005117154
16.14,0.007364539
16.16,0.018804713
16.18,0.029568073
16.2,0.038734521
16.22,0.045400061
16.24,0.050776694
16.26,0.059109421
16.28,0.055457242
16.3,0.039609156
16.32,0.026189157
16.34,0.021854243
16.36,0.016763409
16.38,0.008808449
16.4,0.002705056
16.42,-0.001294634
16.44,-0.005091349
16.46,-0.008729473
16.48,-0.012733255
16.5,-0.017442698
16.52,-0.023070109
16.54,-0.029499493
16.56,-0.027200853
16.58,-0.011939195
16.6,0.003147279
16.62,0.015237166
16.64,0.026426863
16.66,0.023925567
16.68,0.008094974
16.7,-0.00648072
16.72,-0.011651321
16.74,-0.009086032
16.76,-0.010675958
16.78,-0.018074303
16.8,-0.024038671
16.82,-0.027934065
16.84,-0.027230487
16.86,-0.02192694
16.88,-0.016503424
16.9,-0.016831942
16.92,-0.021393493
16.94,-0.025344077
16.96,-0.029140693
16.98,-0.032712341
17,-0.026674018
17.02,-0.013446721
17.04,-0.002125348
17.06,0.007493206
17.08,0.012501044
17.1,0.00358537
17.12,-0.010154013
17.14,-0.017609302
17.16,-0.013261092
17.18,-0.007002981
17.2,-0.002624564
17.22,0.002280764
17.24,0.007946407
17.26,0.012590069
17.28,0.009327355
17.3,0.001120468
17.32,-0.005503988
17.34,-0.010117509
17.36,-0.007079591
17.38,0.00234617
17.4,0.011555777
17.42,0.020393336
17.44,0.029812949
17.46,0.03288262
17.48,0.025394353
17.5,0.016780147
17.52,0.009866006
17.54,0.007457829
17.56,0.010413917
17.58,0.010414971
17.6,0.00414329
17.62,-0.002753525
17.64,-0.008901076
17.66,-0.015608162
17.68,-0.021006783
17.7,-0.015659339
17.72,-0.003803728
17.74,0.006729049
17.76,0.016842396
17.78,0.023204112
17.8,0.019074898
17.82,0.012798756
17.84,0.011841684
17.86,0.015129682
17.88,0.018066749
17.9,0.019196884
17.92,0.014614085
17.94,0.00736685
17.96,0.001041777
17.98,-0.000501358
18,0.002953303
18.02,0.006275698
18.04,0.008263943
18.06,0.007220236
18.08,0.004190772
18.1,0.00129395
18.12,-0.001133195
18.14,0.001533414
18.16,0.009130494
18.18,0.0164855
18.2,0.02331433
18.22,0.030705179
18.24,0.038368042
18.26,0.045889914
18.28,0.044498788
18.3,0.027217656
18.32,0.007879411
18.34,-0.008890358
18.36,-0.026436859
18.38,-0.044387103
18.4,-0.061322397
18.42,-0.067420749
18.44,-0.061555166
18.46,-0.055864651
18.48,-0.052841207
18.5,-0.054376837
18.52,-0.058660539
18.54,-0.062842314
18.56,-0.062913158
18.58,-0.050039066
18.6,-0.032863034
18.62,-0.017856054
18.64,-0.002927318
18.66,0.012724782
